"Sex, age, and race and 
Hispanic origin
20 years and over, age adjusted\4",1988–1994,SE,1999–2002,SE,2001–2004,SE,2003–2006,SE,2005–2008,SE,2007–2010,SE,2009–2012,SE,2011–2014,SE,2013–2016,SE,2015–2018,SE,1988–1994,SE,1999–2002,SE,2001–2004,SE,2003–2006,SE,2005–2008,SE,2007–2010,SE,2009–2012,SE,2011–2014,SE,2013–2016,SE,2015–2018,SE,1988–1994,SE,1999–2002,SE,2001–2004,SE,2003–2006,SE,2005–2008,SE,2007–2010,SE,2009–2012,SE,2011–2014,SE,2013–2016,SE,2015–2018,SE,,,,,,,,,,,,,,,,
Below 100%,14.2,1.1,15.4,1.5,15.4,1.5,15.7,1.5,16.9,1.5,15.0,1.3,18.2,1.5,19.4,1.3,19.6,1.2,18.8,1.2,8.8,1.0,9.0,1.4,9.7,1.1,12.4,1.6,12.0,1.6,10.1,1.3,12.1,1.5,13.4,1.2,13.8,1.3,12.9,1.5,*5.4,1.1,6.4,0.9,5.6,0.9,*3.3,0.8,4.9,0.9,4.9,0.8,6.1,0.9,6.0,0.9,5.8,1.0,5.8,0.9,,,,,,,,,,,,,,,,
100% or more,8.1,0.6,10.3,0.8,11.0,0.8,11.1,0.7,11.5,0.6,12.0,0.7,11.7,0.9,12.1,0.8,13.2,0.6,13.8,0.7,4.8,0.5,6.4,0.6,7.0,0.6,7.1,0.5,7.3,0.5,7.6,0.5,7.8,0.7,8.5,0.8,9.1,0.6,9.7,0.6,3.3,0.3,3.9,0.3,4.0,0.4,4.0,0.5,4.2,0.4,4.4,0.4,3.9,0.4,3.6,0.4,4.0,0.4,4.1,0.4,,,,,,,,,,,,,,,,
100%–199%,9.7,0.9,14.2,1.6,14.6,1.8,14.8,1.9,16.2,1.5,16.3,1.4,15.5,1.2,15.9,1.3,16.7,1.4,17.3,1.2,5.2,0.7,9.4,1.4,9.8,1.4,9.5,1.4,10.2,1.1,11.0,1.1,11.4,1.1,10.5,1.0,10.7,1.1,12.3,0.9,4.4,0.7,4.7,0.8,4.9,0.9,5.3,0.9,6.0,0.8,5.3,0.7,4.1,0.7,5.4,0.8,6.0,0.8,5.0,0.9,,,,,,,,,,,,,,,,
200% or more,7.8,0.7,9.1,0.7,9.9,0.8,10.0,0.8,10.3,0.7,10.9,0.7,10.3,1.0,10.6,1.0,12.0,0.7,12.8,0.8,4.7,0.5,5.5,0.6,6.1,0.7,6.3,0.6,6.6,0.5,6.8,0.5,6.5,0.8,7.7,0.8,8.7,0.6,9.0,0.7,3.1,0.4,3.7,0.4,3.8,0.5,3.7,0.5,3.8,0.4,4.1,0.4,3.8,0.5,2.9,0.4,3.3,0.4,3.8,0.4,,,,,,,,,,,,,,,,
200%–399%,7.8,0.6,11.0,1.1,11.2,1.1,11.5,1.2,11.7,1.0,13.4,1.1,12.7,1.1,12.4,1.0,14.8,1.0,15.0,1.2,4.3,0.5,7.3,1.0,7.0,1.0,7.5,1.1,7.8,0.8,8.9,0.9,8.4,0.9,8.6,0.8,9.9,0.8,10.5,1.2,3.6,0.6,3.7,0.7,4.1,0.6,4.0,0.7,4.0,0.6,4.5,0.6,4.3,0.7,3.8,0.7,4.9,0.7,4.5,0.7,,,,,,,,,,,,,,,,
400% or more,7.8,1.0,8.0,1.0,9.2,1.2,8.2,1.0,8.3,0.9,8.5,1.0,8.4,1.3,9.3,1.4,10.3,1.3,11.2,1.2,5.3,0.8,4.3,0.7,5.8,0.8,5.2,0.7,5.1,0.7,4.9,0.7,*5.2,1.0,7.2,1.2,8.0,1.1,7.9,1.0,2.5,0.5,3.6,0.5,3.4,0.7,*3.0,0.7,3.2,0.6,3.6,0.5,3.2,0.6,*2.0,0.4,2.3,0.5,3.3,0.5,,,,,,,,,,,,,,,,
"20 years and over, crude",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All persons\5,8.3,0.5,10.8,0.7,11.5,0.6,11.9,0.7,12.5,0.7,13.1,0.6,13.3,0.8,13.7,0.8,15.0,0.7,15.9,0.8,4.9,0.4,6.6,0.6,7.3,0.5,7.9,0.5,8.2,0.5,8.5,0.5,8.9,0.7,9.6,0.7,10.5,0.6,11.3,0.7,3.4,0.2,4.2,0.3,4.2,0.4,4.0,0.5,4.3,0.4,4.6,0.3,4.4,0.4,4.1,0.4,4.5,0.4,4.6,0.4,,,,,,,,,,,,,,,,
Male,8.6,0.6,11.6,0.9,12.7,0.9,12.1,0.9,12.7,0.8,14.7,0.9,14.6,1.1,14.5,1.0,16.7,1.0,17.7,1.0,4.9,0.5,7.1,0.8,7.5,0.7,6.9,0.6,7.5,0.5,8.9,0.7,9.1,0.8,9.7,0.7,11.4,0.9,12.7,1.0,3.7,0.4,4.5,0.5,5.2,0.6,5.2,0.7,5.2,0.6,5.8,0.5,5.5,0.6,4.8,0.6,5.3,0.7,5.0,0.8,,,,,,,,,,,,,,,,
Female,8.0,0.8,10.1,0.9,10.4,0.8,11.6,0.9,12.3,1.0,11.6,0.8,12.1,0.9,12.9,0.9,13.5,0.9,14.2,1.0,5.0,0.6,6.1,0.7,7.1,0.6,8.7,0.7,9.0,0.8,8.2,0.7,8.7,0.8,9.5,0.8,9.7,0.8,10.0,0.8,3.1,0.4,3.9,0.5,3.3,0.4,2.9,0.4,3.3,0.4,3.5,0.4,3.4,0.4,3.4,0.3,3.8,0.4,4.2,0.5,,,,,,,,,,,,,,,,
Not Hispanic or Latino:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White only,7.6,0.6,9.9,0.8,10.3,0.7,10.7,0.9,11.4,1.0,12.0,0.9,11.5,1.0,12.2,1.0,14.4,1.0,14.9,1.0,4.7,0.6,5.6,0.7,6.3,0.6,6.7,0.5,7.3,0.7,7.6,0.8,7.6,0.8,8.7,0.9,10.0,0.8,10.7,0.9,2.9,0.3,4.3,0.4,4.1,0.4,4.0,0.6,4.1,0.5,4.4,0.4,3.9,0.4,3.4,0.4,4.4,0.6,4.2,0.6,,,,,,,,,,,,,,,,
Black or African American only,13.3,0.8,13.4,1.2,15.2,1.4,16.2,1.4,18.5,1.6,17.7,1.4,17.7,1.3,18.2,1.4,17.7,1.1,18.6,1.0,7.2,0.6,8.3,1.1,10.9,1.4,12.3,1.4,12.8,1.4,12.3,1.3,12.5,0.9,13.0,0.8,13.7,0.9,13.3,0.9,6.1,0.5,5.0,0.8,4.3,0.6,3.9,0.5,5.8,0.7,5.3,0.6,5.2,0.8,5.2,0.9,3.9,0.7,5.3,0.8,,,,,,,,,,,,,,,,
Asian only,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,15.8,1.7,14.8,1.5,16.3,1.4,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,9.3,1.1,9.8,1.3,11.0,1.2,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,6.5,1.2,5.0,1.1,5.3,0.9,,,,,,,,,,,,,,,,
Hispanic or Latino,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,15.2,1.1,16.2,1.4,15.2,1.3,16.5,1.1,18.5,1.1,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,9.5,0.8,9.9,1.0,9.8,0.8,11.1,0.7,12.8,0.9,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,- - - ,5.7,0.6,6.3,0.7,5.4,0.7,5.4,0.8,5.7,0.8,,,,,,,,,,,,,,,,
Mexican origin,10.4,0.7,10.3,1.0,11.9,2.0,13.4,2.1,14.5,1.3,15.4,1.3,16.9,1.9,15.8,1.7,17.2,1.5,19.7,1.6,6.3,0.6,7.2,1.0,7.9,1.2,8.8,1.2,8.9,0.8,9.4,1.0,10.1,1.2,10.1,0.9,11.3,0.8,13.3,1.0,4.1,0.5,3.1,0.6,*4.0,1.0,*4.6,1.0,5.6,0.8,6.0,0.7,6.8,1.0,5.7,1.0,5.9,1.0,6.3,1.0,,,,,,,,,,,,,,,,
Percent of poverty level\6:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Below 100%,11.6,1.0,14.1,1.6,12.9,1.4,13.7,1.3,15.0,1.5,12.4,1.2,15.2,1.2,16.8,1.3,17.3,1.4,17.6,1.4,7.2,1.0,8.4,1.4,8.4,1.0,10.6,1.4,10.3,1.5,8.3,1.2,9.8,1.2,11.2,1.1,12.0,1.4,12.1,1.6,4.4,0.8,5.8,0.8,4.6,0.7,*3.1,0.8,4.7,0.8,4.2,0.7,5.3,0.8,5.6,0.8,5.3,0.9,5.5,0.9,,,,,,,,,,,,,,,,
100% or more,7.6,0.6,10.2,0.8,11.0,0.7,11.5,0.8,11.9,0.7,13.0,0.7,12.8,1.0,13.2,1.0,14.6,0.8,15.4,0.8,4.5,0.5,6.3,0.6,7.0,0.6,7.3,0.6,7.7,0.5,8.3,0.5,8.6,0.9,9.4,1.0,10.2,0.7,11.0,0.7,3.1,0.3,3.8,0.4,4.0,0.4,4.1,0.5,4.3,0.4,4.7,0.4,4.3,0.4,3.9,0.4,4.4,0.5,4.5,0.5,,,,,,,,,,,,,,,,
100%–199%,9.1,0.8,14.0,1.6,14.4,1.6,15.8,1.9,17.7,1.7,17.3,1.6,16.6,1.3,17.8,1.5,17.3,1.6,17.0,1.3,5.2,0.7,9.3,1.3,9.6,1.3,10.2,1.5,11.2,1.1,11.7,1.2,12.3,1.2,12.1,1.3,11.2,1.3,12.1,1.0,3.9,0.6,4.7,0.8,4.8,0.7,5.6,0.8,6.5,0.9,5.6,0.8,4.2,0.7,5.8,0.8,6.1,0.8,4.9,0.9,,,,,,,,,,,,,,,,
200% or more,7.1,0.6,9.0,0.7,9.9,0.8,10.2,0.8,10.3,0.7,11.6,0.7,11.5,1.2,11.6,1.2,13.7,0.8,14.9,0.9,4.3,0.5,5.4,0.6,6.1,0.7,6.5,0.7,6.7,0.5,7.2,0.5,7.3,1.0,8.4,1.0,9.9,0.7,10.6,0.8,2.8,0.4,3.6,0.4,3.8,0.5,3.7,0.5,3.7,0.5,4.4,0.4,4.3,0.5,3.2,0.5,3.9,0.5,4.3,0.5,,,,,,,,,,,,,,,,
200%–399%,6.8,0.6,10.6,1.3,11.1,1.3,11.9,1.3,12.3,1.1,14.3,1.2,13.6,1.3,13.3,1.2,15.9,1.1,16.2,1.3,3.7,0.5,7.0,1.1,7.0,1.2,7.7,1.1,8.1,0.9,9.4,0.9,9.0,1.1,9.3,1.0,10.7,0.9,11.3,1.3,3.1,0.5,3.6,0.7,4.1,0.6,4.2,0.7,4.2,0.7,4.8,0.8,4.6,0.8,4.0,0.7,5.2,0.8,4.9,0.7,,,,,,,,,,,,,,,,
400% or more,7.6,1.0,7.7,1.1,8.9,1.2,8.5,1.0,8.6,0.8,9.4,1.1,9.8,1.6,10.3,1.7,11.9,1.4,13.9,1.4,5.2,0.8,4.1,0.8,5.5,0.8,5.3,0.7,5.4,0.7,5.4,0.8,*5.8,1.2,7.7,1.4,9.2,1.2,10.0,1.2,*2.5,0.5,3.6,0.6,*3.5,0.7,*3.2,0.8,3.2,0.6,4.0,0.6,4.0,0.7,*2.6,0.6,2.7,0.5,3.9,0.7,,,,,,,,,,,,,,,,
 Age group (years):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20–44,*2.1,0.4,4.6,0.6,4.6,0.5,4.6,0.6,4.5,0.5,3.8,0.5,4.0,0.5,4.5,0.6,5.0,0.7,5.2,0.6,*,*,3.2,0.5,3.1,0.4,2.8,0.5,2.6,0.4,2.1,0.3,2.1,0.4,2.6,0.4,3.0,0.4,2.9,0.4,1.1,0.2,*1.4,0.4,1.5,0.3,*1.9,0.4,1.9,0.4,1.6,0.3,2.0,0.3,1.9,0.4,1.9,0.4,2.4,0.4,,,,,,,,,,,,,,,,
45–64,14.0,1.0,14.2,1.4,14.8,1.4,14.5,1.3,14.7,1.3,16.8,1.3,17.5,1.6,17.9,1.6,20.3,1.4,21.2,1.6,7.9,0.8,8.3,1.1,9.3,1.1,10.1,1.0,10.6,0.9,11.4,0.9,11.4,1.2,12.3,1.4,14.2,1.2,15.0,1.4,6.0,0.7,5.9,0.8,5.4,0.9,4.4,0.8,4.1,0.7,5.4,0.7,6.1,0.8,5.5,0.6,6.1,0.9,6.1,1.0,,,,,,,,,,,,,,,,
65 and over,19.4,1.3,22.9,1.7,26.8,1.9,26.9,1.9,29.2,1.4,30.0,1.6,28.6,1.7,28.4,1.7,28.3,1.5,29.0,1.4,12.7,1.1,13.7,1.6,16.4,1.6,17.5,1.4,18.3,1.0,19.3,1.3,21.2,1.7,21.9,1.6,20.9,1.4,22.5,1.5,6.7,0.9,9.2,1.0,10.5,0.9,9.3,0.9,10.9,1.1,10.7,1.1,7.3,0.9,6.5,0.9,7.4,0.9,6.5,1.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
